,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR85 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
1,Residential Plot,PKR80 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
2,Residential Plot,PKR95 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
3,Residential Plot,PKR1.4 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
4,Residential Plot,PKR90 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,3 days ago,
5,Residential Plot,PKR1.02 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
6,Residential Plot,PKR1.05 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
7,Residential Plot,PKR1.05 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,6 days ago,
8,Residential Plot,PKR3.7 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
9,Residential Plot,PKR1.05 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
10,Residential Plot,PKR80 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
11,Residential Plot,PKR1 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
12,Residential Plot,PKR3.3 Crore,"Sui Gas Housing Society, Lahore, Punjab",5,2 Kanal,For Sale,5,22 hours ago,
13,Residential Plot,PKR2.5 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,2 days ago,
14,Residential Plot,PKR72 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,2 days ago,
15,Residential Plot,PKR1.02 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,
16,Residential Plot,PKR1.1 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,3 days ago,
17,Residential Plot,PKR95 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
18,Residential Plot,PKR85 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
19,Residential Plot,PKR80 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
20,Residential Plot,PKR86 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
21,Residential Plot,PKR82 Lakh,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
22,Residential Plot,PKR1.05 Crore,"Sui Gas Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
