,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR3.3 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,1.2 Kanal,For Sale,-,2 weeks ago,"Corner,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
1,Residential Plot,PKR1.68 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,
2,Residential Plot,PKR5.5 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,1.6 Kanal,For Sale,-,5 days ago,
3,Residential Plot,PKR1.85 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
4,Residential Plot,PKR6.5 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Other Nearby Places,Other Facilities"
5,Residential Plot,PKR2.9 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
6,Residential Plot,PKR3.35 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
7,Residential Plot,PKR1.8 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
8,Residential Plot,PKR1.75 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
9,Residential Plot,PKR3.5 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
10,Residential Plot,PKR1.72 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
11,Residential Plot,PKR5.8 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,2 Kanal,For Sale,-,2 days ago,
12,Residential Plot,PKR1.7 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
13,Residential Plot,PKR1.6 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
14,Residential Plot,PKR1.9 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
15,Residential Plot,PKR1.8 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
16,Residential Plot,PKR2.5 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
17,Residential Plot,PKR2.6 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
18,Residential Plot,PKR2.7 Crore,"Sukh Chayn Gardens, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
