,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.35 Crore,"TIP Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,2 weeks ago,"Possesion,Corner,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
1,Residential Plot,PKR1.4 Crore,"TIP Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
2,Residential Plot,PKR1.5 Crore,"TIP Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,3 hours ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
3,Residential Plot,PKR1.3 Crore,"TIP Housing Society, Lahore, Punjab",-,9 Marla,For Sale,-,2 days ago,
4,Residential Plot,PKR1.5 Crore,"TIP Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply"
5,Residential Plot,PKR1.2 Crore,"TIP Housing Society, Lahore, Punjab",-,9 Marla,For Sale,-,2 days ago,
6,Residential Plot,PKR1.5 Crore,"TIP Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,2 hours ago,"Possesion,Sewerage,Electricity,Water Supply"
7,Residential Plot,PKR1 Crore,"TIP Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,4 days ago,
8,Residential Plot,PKR1.85 Crore,"TIP Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,3 weeks ago,
9,Residential Plot,PKR1.2 Crore,"TIP Housing Society, Lahore, Punjab",-,9 Marla,For Sale,-,3 weeks ago,
10,Residential Plot,PKR1.1 Crore,"TIP Housing Society, Lahore, Punjab",-,9 Marla,For Sale,-,3 weeks ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
11,Residential Plot,PKR1.6 Crore,"TIP Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,3 weeks ago,
12,Residential Plot,PKR1 Crore,"TIP Housing Society, Lahore, Punjab",-,9 Marla,For Sale,-,4 weeks ago,"Possesion,Sewerage,Electricity,Water Supply"
