,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR3.3 Crore,"Tariq Gardens, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Disputed,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service"
1,Residential Plot,PKR1.35 Crore,"Tariq Gardens, Lahore, Punjab",-,11 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
2,Residential Plot,PKR2.35 Crore,"Tariq Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
3,Residential Plot,PKR1.4 Crore,"Tariq Gardens, Lahore, Punjab",-,11 Marla,For Sale,-,3 weeks ago,
4,Residential Plot,PKR1.5 Crore,"Tariq Gardens, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
5,Residential Plot,PKR2.4 Crore,"Tariq Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,23 hours ago,
6,Residential Plot,PKR1.85 Crore,"Tariq Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
7,Residential Plot,PKR2.9 Crore,"Tariq Gardens, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
8,Residential Plot,PKR2 Crore,"Tariq Gardens, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
9,Residential Plot,PKR1.37 Crore,"Tariq Gardens, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
