,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR1.44 Crore,"Thethar, Lahore, Punjab",-,2 Kanal,For Sale,-,1 day ago,
1,Residential Plot,PKR11.34 Crore,"Thethar, Lahore, Punjab",-,14 Kanal,For Sale,-,1 day ago,
2,Residential Plot,PKR2.05 Crore,"Thethar, Lahore, Punjab",-,3.2 Kanal,For Sale,-,1 day ago,
3,Residential Plot,PKR1.8 Crore,"Thethar, Lahore, Punjab",-,3 Kanal,For Sale,-,1 day ago,
4,Residential Plot,PKR3.15 Crore,"Thethar, Lahore, Punjab",-,3 Kanal,For Sale,-,3 days ago,"Possesion,File,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
5,Residential Plot,PKR1.56 Crore,"Thethar, Lahore, Punjab",-,4 Kanal,For Sale,-,4 days ago,
6,Residential Plot,PKR4.68 Crore,"Thethar, Lahore, Punjab",-,6 Kanal,For Sale,-,4 days ago,
7,Residential Plot,PKR3.9 Crore,"Thethar, Lahore, Punjab",-,5 Kanal,For Sale,-,4 days ago,
8,Residential Plot,PKR3.12 Crore,"Thethar, Lahore, Punjab",-,4 Kanal,For Sale,-,4 days ago,
9,Residential Plot,PKR58 Lakh,"Thethar, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
10,Residential Plot,PKR7.8 Crore,"Thethar, Lahore, Punjab",-,10 Kanal,For Sale,-,5 days ago,
11,Residential Plot,PKR2.98 Crore,"Thethar, Lahore, Punjab",-,4.2 Kanal,For Sale,-,6 days ago,
12,Residential Plot,PKR1.8 Crore,"Thethar, Lahore, Punjab",-,4 Kanal,For Sale,-,20 hours ago,"Possesion,Electricity,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Distance From Airport (kms),Other Nearby Places"
13,Residential Plot,PKR60 Lakh,"Thethar, Lahore, Punjab",-,1.5 Kanal,For Sale,-,7 hours ago,
14,Residential Plot,PKR3.5 Crore,"Thethar, Lahore, Punjab",-,8 Kanal,For Sale,-,1 day ago,
