,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR3.25 Crore,"Valencia Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
1,Residential Plot,PKR6.5 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
2,Residential Plot,PKR7 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
3,Residential Plot,PKR6.75 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Possesion,Disputed,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service"
4,Residential Plot,PKR5.5 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls"
5,Residential Plot,PKR4.5 Crore,"Valencia Housing Society, Lahore, Punjab",-,1.2 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
6,Residential Plot,PKR7.25 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Restaurants,Other Facilities"
7,Residential Plot,PKR6.7 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,
8,Residential Plot,PKR7 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
9,Residential Plot,PKR3.25 Crore,"Valencia Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
10,Residential Plot,PKR8 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
11,Residential Plot,PKR14.5 Crore,"Valencia Housing Society, Lahore, Punjab",-,4 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas"
12,Residential Plot,PKR3.5 Crore,"Valencia Housing Society, Lahore, Punjab",-,19 Marla,For Sale,-,3 days ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
13,Residential Plot,PKR8.5 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,5 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
14,Residential Plot,PKR3.25 Crore,"Valencia Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,"Possesion,Corner,Park Facing,Disputed,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
15,Residential Plot,PKR5.5 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,6 days ago,
16,Residential Plot,PKR6.7 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,6 days ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas"
17,Residential Plot,PKR3.6 Crore,"Valencia Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
18,Residential Plot,PKR1.05 Crore,"Valencia Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
19,Commercial Plot,PKR5 Crore,"Valencia Housing Society, Lahore, Punjab",-,7 Marla,For Sale,-,1 day ago,
20,Residential Plot,PKR16 Crore,"Valencia Housing Society, Lahore, Punjab",-,4 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
21,Residential Plot,PKR3.5 Crore,"Valencia Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply"
22,Residential Plot,PKR6.6 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Sui Gas"
23,Residential Plot,PKR3 Crore,"Valencia Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Sui Gas"
24,Residential Plot,PKR5.5 Crore,"Valencia Housing Society, Lahore, Punjab",-,2 Kanal,For Sale,-,1 day ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Sui Gas"
