,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR45 Lakh,PKR6.75 Lakh,PKR42,36 Months,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"File,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
1,Plot File,PKR28.5 Lakh,PKR4.28 Lakh,PKR19.26 Thousand,125 Months,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Security Staff"
2,Residential Plot,PKR70 Lakh,,,,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,
3,Plot File,PKR3.8 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
4,Residential Plot,PKR28.5 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
5,Residential Plot,PKR88 Lakh,,,,"Wagha Town, Lahore, Punjab",-,5.5 Kanal,For Sale,-,2 weeks ago,
6,Residential Plot,PKR30 Lakh,,,,"Wagha Town, Lahore, Punjab",-,2.8 Marla,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
7,Plot File,PKR37 Lakh,,,,"Wagha Town, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
8,Commercial Plot,PKR3 Crore,PKR60 Lakh,PKR4.29 Lakh,18 Months,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
9,Commercial Plot,PKR1.3 Crore,PKR26 Lakh,PKR1.86 Lakh,18 Months,"Wagha Town, Lahore, Punjab",-,2 Marla,For Sale,-,4 weeks ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
10,Residential Plot,PKR28.5 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,3 days ago,"File,Sewerage,Electricity,Water Supply,Sui Gas"
11,Residential Plot,PKR45 Lakh,,,,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"File,Sewerage,Electricity,Water Supply,Sui Gas"
12,Residential Plot,PKR40 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,8 hours ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
13,Residential Plot,PKR24 Lakh,,,,"Wagha Town, Lahore, Punjab",-,2 Marla,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff,Other Facilities"
14,Residential Plot,PKR36 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff,Other Facilities"
15,Commercial Plot,PKR2.3 Crore,,,,"Wagha Town, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff,Other Facilities"
16,Residential Plot,PKR60 Lakh,,,,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff,Other Facilities"
17,Commercial Plot,PKR1.1 Crore,,,,"Wagha Town, Lahore, Punjab",-,2 Marla,For Sale,-,4 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Security Staff,Other Facilities"
18,Plot File,PKR2 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
19,Plot File,PKR4 Lakh,,,,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
20,Plot File,PKR3 Lakh,,,,"Wagha Town, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
21,Residential Plot,PKR28.5 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
22,Residential Plot,PKR45 Lakh,,,,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply"
23,Residential Plot,PKR45 Lakh,,,,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply"
24,Plot File,PKR28.5 Lakh,PKR4.28 Lakh,PKR19.71 Thousand,35 Months,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
25,Residential Plot,PKR28.5 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
26,Residential Plot,PKR28.5 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
27,Residential Plot,PKR45 Lakh,,,,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
28,Residential Plot,PKR28.5 Lakh,,,,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
29,Residential Plot,PKR60 Lakh,,,,"Wagha Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
30,Plot File,PKR28 Lakh,PKR4.27 Lakh,PKR19.5 Thousand,36 Months,"Wagha Town, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
