,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Residential Plot,PKR2.3 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
1,Residential Plot,PKR2.75 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply"
2,Residential Plot,PKR2.25 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
3,Residential Plot,PKR2.3 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
4,Residential Plot,PKR3.5 Crore,"Wapda Town, Lahore, Punjab",-,1.1 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
5,Residential Plot,PKR3 Crore,"Wapda Town, Lahore, Punjab",-,1.3 Kanal,For Sale,-,2 weeks ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas"
6,Residential Plot,PKR2.5 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
7,Residential Plot,PKR2.35 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
8,Commercial Plot,PKR8.25 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
9,Residential Plot,PKR3.5 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
10,Residential Plot,PKR4 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
11,Residential Plot,PKR2.2 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
12,Residential Plot,PKR2.25 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
13,Residential Plot,PKR2.35 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
14,Residential Plot,PKR6.5 Crore,"Wapda Town, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
15,Commercial Plot,PKR17 Crore,"Wapda Town, Lahore, Punjab",-,2 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
16,Residential Plot,PKR1.9 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
17,Residential Plot,PKR1.8 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,23 hours ago,
