,0,1
0,0,"Balloted,Electricity,File,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
1,1,nan
2,2,"Electricity,Sewerage,Water Supply"
3,3,"Boundary Wall,Electricity,Possesion,Water Supply"
4,4,"Balloted,Boundary Wall,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
5,5,"Boundary Wall,Corner,Electricity,File,Park Facing,Sewerage,Sui Gas,Water Supply"
6,6,"Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Security Staff"
7,7,"Balloted,Boundary Wall,Corner,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
8,8,Security Staff
9,9,"Corner,Park Facing,Possesion,Security Staff,Water Supply"
10,10,"Electricity,File,Park Facing,Possesion,Water Supply"
11,11,"Balloted,Corner,Possesion,Security Staff"
12,12,"Balloted,Boundary Wall,Electricity,File,Possesion,Sewerage,Water Supply"
13,13,"Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
14,14,"Balloted,Boundary Wall,Electricity,Park Facing,Possesion,Sewerage,Sui Gas,Water Supply"
15,15,"Balloted,Boundary Wall,Electricity,File,Possesion,Sewerage,Sui Gas,Water Supply"
16,16,"Balloted,Boundary Wall,Corner,Electricity,File,Park Facing,Possesion,Sewerage,Sui Gas,Water Supply"
17,17,"Boundary Wall,Corner,Electricity,File,Park Facing,Possesion,Sewerage,Water Supply"
18,18,"Boundary Wall,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Water Supply"
19,19,"Balloted,Boundary Wall,Corner,Electricity,File,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
20,20,"Balloted,Boundary Wall,Corner,Electricity,File,Park Facing,Possesion,Security Staff,Sewerage,Water Supply"
21,21,File
22,22,"Boundary Wall,File,Park Facing,Possesion,Sewerage"
23,23,"Balloted,Boundary Wall,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
24,24,"Balloted,Electricity,Possesion,Sewerage,Water Supply"
25,25,"Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places"
26,26,"Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls"
