,0,1
0,0,Al Jalil Garden
1,1,Al Rehman Garden
2,2,Al-Raziq Garden
3,3,Atomic Energy Society - PAEC
4,4,Audit & Accounts Housing Society
5,5,Bahria Education & Medical City
6,6,Bahria Nasheman
7,7,Bahria Orchard
8,8,Bahria Town
9,9,Bankers Avenue Cooperative Housing Society
10,10,Bankers Co-operative Housing Society
11,11,Beacon House Society
12,12,Bedian Road
13,13,BRB Canal Road
14,14,Canal Garden
15,15,Cantt
16,16,Central Park Housing Scheme
17,17,Chinar Bagh
18,18,College Road
19,19,Defence Road
20,20,DHA 11 Rahbar
21,21,DHA City
22,22,DHA Defence
23,23,Fatima Jinnah Town
24,24,Eden
25,25,Elite Town
26,26,EME Society
27,27,Fazaia Housing Scheme
28,28,Ferozepur Road
29,29,Formanites Housing Scheme
30,30,Govt Officers Cooperative Housing Society
31,31,Grand Avenues Housing Scheme
32,32,GT Road
33,33,Gulberg
34,34,HBFC Housing Society
35,35,Highcourt Society
36,36,IEP Engineers Town
37,37,Iqbal Avenue
38,38,Izmir Town
39,39,Jahman
40,40,Jati Umra Road
41,41,Jia Baga Road
42,42,Johar Town
43,43,Jubilee Town
44,44,Khayaban-e-Amin
45,45,Lahore - Islamabad Motorway
46,46,Lahore - Jaranwala Road
47,47,Lahore Medical Housing Society
48,48,Lahore Motorway City
49,49,LDA Avenue
50,50,LDA Road
51,51,Liberty Lands Housing Scheme
52,52,Main Canal Bank Road
53,53,Model Town
54,54,Multan Road
55,55,Nasheman-e-Iqbal
56,56,New Lahore City
57,57,NFC 2
58,58,OPF Housing Scheme
59,59,P & D Housing Society
60,60,Pak Arab Housing Society
61,61,Paragon City
62,62,Park Avenue Housing Scheme
63,63,Park View City
64,64,Punjab University Employees Society
65,65,Raiwind Road
66,66,Rana Town
67,67,Rehan Garden
68,68,Safari Garden Housing Scheme
69,69,Shadman Enclave
70,70,State Life Housing Society
71,71,Sue-e-Asal
72,72,Sui Gas Housing Society
73,73,Sukh Chayn Gardens
74,74,Tariq Gardens
75,75,Thethar
76,76,TIP Housing Society
77,77,Valencia Housing Society
78,78,Wagha Town
79,79,Wapda Town
80,80,Zaitoon City
