,Type,Price,Location,Area,Creation date,Amenities,Installment value
0,Residential Plot,1900000,Al Jalil Garden,5.0,1 day ago,0,
1,Residential Plot,4500000,Al Jalil Garden,5.0,1 day ago,0,
2,Residential Plot,5900000,Al Jalil Garden,7.5,4 days ago,1,
3,Residential Plot,5900000,Al Jalil Garden,7.5,4 days ago,1,
4,Residential Plot,5900000,Al Jalil Garden,7.5,4 days ago,1,
5,Residential Plot,4500000,Al Jalil Garden,5.0,6 days ago,1,
6,Residential Plot,5000000,Al Jalil Garden,5.0,6 days ago,1,
7,Residential Plot,3200000,Al Jalil Garden,3.0,6 days ago,1,
8,Residential Plot,2800000,Al Jalil Garden,3.0,6 days ago,1,
9,Residential Plot,4700000,Al Jalil Garden,5.0,6 days ago,1,
10,Residential Plot,3800000,Al Jalil Garden,5.0,6 days ago,1,
11,Residential Plot,3100000,Al Jalil Garden,5.0,6 days ago,1,
12,Residential Plot,3200000,Al Jalil Garden,5.0,6 days ago,1,
13,Residential Plot,3100000,Al Jalil Garden,3.7,6 days ago,1,
14,Plot File,2000000,Al Jalil Garden,5.0,6 days ago,1,
15,Residential Plot,3600000,Al Jalil Garden,5.0,6 days ago,1,
16,Residential Plot,4500000,Al Jalil Garden,5.0,6 days ago,1,
17,Residential Plot,3700000,Al Jalil Garden,5.0,1 day ago,1,
18,Residential Plot,7900000,Al Jalil Garden,10.0,1 day ago,1,
19,Residential Plot,7900000,Al Jalil Garden,10.0,1 day ago,1,
20,Residential Plot,7900000,Al Jalil Garden,10.0,1 day ago,1,
21,Residential Plot,7900000,Al Jalil Garden,10.0,1 day ago,1,
22,Residential Plot,7900000,Al Jalil Garden,10.0,1 day ago,1,
23,Residential Plot,7900000,Al Jalil Garden,10.0,1 day ago,1,
24,Residential Plot,7900000,Al Jalil Garden,10.0,1 day ago,1,
25,Residential Plot,6700000,Al Jalil Garden,10.0,6 days ago,1,
26,Residential Plot,7500000,Al Jalil Garden,10.0,6 days ago,1,
27,Residential Plot,8000000,Al Jalil Garden,10.0,6 days ago,1,
28,Residential Plot,4800000,Al Jalil Garden,8.0,2 weeks ago,1,
