,links
0,/Property/fazaia_housing_scheme_fazaia_housing_scheme_phase_1_10_marla_plot_for_sale_in_g_block_on_45_feet_carpet_road_-44366826-9238-2.html
1,/Property/fazaia_housing_scheme_phase_1_fazaia_housing_scheme_phase_1_block_b_10_marla_residential_possession_plot_for_sale_in_fazaia_housing_scheme_phase_1_block_b-44529711-3766-2.html
2,/Property/fazaia_housing_scheme_phase_1_fazaia_housing_scheme_phase_1_block_d_1_kanal_d_block_main_100_feet_road_plot_for_sale_at_reasonable_rate-44241488-3768-2.html
3,/Property/fazaia_housing_scheme_phase_1_fazaia_housing_scheme_phase_1_block_j_j_block_10_marla_plot_at_reasonable_rate_in_fazaia_housing_scheme_1-44241498-3773-2.html
4,/Property/lahore_fazaia_housing_scheme_10_marla_residential_plot_up_for_sale_in_fazaia_housing_scheme-44028121-1677-2.html
5,/Property/lahore_fazaia_housing_scheme_this_is_your_chance_to_buy_residential_plot_in_fazaia_housing_scheme-44028125-1677-2.html
6,/Property/fazaia_housing_scheme_phase_1_fazaia_housing_scheme_phase_1_block_g_10_marla_plot_at_good_location_near_60_feet_road-44025458-3771-2.html
7,/Property/fazaia_housing_scheme_phase_1_fazaia_housing_scheme_phase_1_block_h_buying_a_corner_residential_plot_in_fazaia_housing_scheme_phase_1_block_h_lahore_-41504705-3772-2.html
8,/Property/fazaia_housing_scheme_fazaia_housing_scheme_phase_2_5_marla_plot_for_sale_in_fazaia_phase_2_-44539239-9148-2.html
9,/Property/fazaia_housing_scheme_phase_2_fazaia_housing_society_phase_2_block_d_fazaia_housing_scheme_phase_2_block_d_plot_for_sale-44056235-14709-2.html
10,/Property/fazaia_housing_scheme_fazaia_housing_scheme_phase_2_5_marla_plot_for_sale_in_fazaia_phase_2-44497191-9148-2.html
11,/Property/fazaia_housing_scheme_fazaia_housing_scheme_phase_2_7_marla_plot_for_sale_in_fazaia_phase_2_-44412004-9148-2.html
12,/Property/fazaia_housing_scheme_phase_1_fazaia_housing_scheme_phase_1_block_k_32_marla_hot_location_plot_sale-44481741-9239-2.html
13,/Property/fazaia_housing_scheme_phase_1_fazaia_housing_scheme_phase_1_block_b_1_kanal_residential_plot_for_sale_in_fazaia_housing_scheme_phase_1_block_b-44530118-3766-2.html
